km;height
1655.238;160.1
1655.249;160.2
1655.26;160.4
1655.266;160.5
1655.277;160.7
1655.289;160.9
1655.3;161.1
1655.306;161.2
1655.317;161.3
1655.329;161.3
1655.34;161.3
1655.35;161.3
1655.36;161.3
1655.366;161.3
1655.377;161.3
1655.388;161.4
1655.4;161.4
1655.405;161.4
1655.416;161.4
1655.428;161.5
1655.439;161.5
1655.449;161.6
1655.455;161.7
1655.466;161.7
1655.477;161.8
1655.488;161.9
1655.499;162
1655.51;162
1655.516;162.1
1655.528;162.2
1655.539;162.3
1655.551;162.5
1655.556;162.5
1655.568;162.6
1655.579;162.8
1655.59;162.9
1655.596;163
1655.607;163.1
1655.619;163.2
1655.63;163.4
1655.636;163.4
1655.647;163.6
1655.658;163.8
1655.67;163.9
1655.675;164
1655.687;164.1
1655.697;164.3
1655.706;164.4
1655.719;164.6
1655.73;164.7
1655.735;164.7
1655.747;164.8
1655.758;164.9
1655.769;164.9
1655.78;165
1655.785;165
1655.797;165.1
1655.807;165.2
1655.817;165.3
1655.828;165.3
1655.84;165.3
1655.845;165.3
1655.857;165.4
1655.868;165.4
1655.879;165.4
1655.885;165.5
1655.897;165.5
1655.908;165.5
1655.919;165.6
1655.93;165.6
1655.936;165.6
1655.947;165.6
1655.959;165.6
1655.97;165.6
1655.976;165.6
1655.987;165.6
1655.998;165.6
1656.01;165.6
1656.015;165.6
1656.027;165.7
1656.038;165.7
1656.049;165.7
1656.061;165.7
1656.066;165.7
1656.077;165.8
1656.089;165.8
1656.1;165.8
1656.106;165.8
1656.117;165.8
1656.129;165.9
1656.14;166
1656.146;166.1
1656.157;166.2
1656.169;166.3
1656.18;166.4
1656.186;166.4
1656.197;166.5
1656.208;166.6
1656.219;166.7
1656.23;166.8
1656.236;166.8
1656.247;166.9
1656.258;166.9
1656.269;166.9
1656.279;167
1656.285;167
1656.297;167.1
1656.308;167.1
1656.319;167.1
1656.325;167.2
1656.336;167.2
1656.348;167.3
1656.359;167.3
1656.371;167.4
1656.376;167.4
1656.388;167.5
1656.399;167.5
1656.41;167.6
1656.416;167.6
1656.427;167.7
1656.438;167.7
1656.45;167.7
1656.456;167.7
1656.467;167.7
1656.478;167.7
1656.489;167.8
1656.5;167.8
1656.506;167.8
1656.517;167.8
1656.529;167.9
1656.54;168
1656.545;168
1656.556;168.1
1656.567;168.2
1656.578;168.2
1656.589;168.3
1656.595;168.4
1656.606;168.4
1656.618;168.5
1656.629;168.6
1656.64;168.6
1656.646;168.7
1656.657;168.7
1656.668;168.8
1656.68;168.9
1656.685;168.9
1656.697;169
1656.708;169
1656.719;169.1
1656.73;169.1
1656.736;169.1
1656.747;169
1656.758;169
1656.769;168.9
1656.78;168.9
1656.786;168.9
1656.797;168.8
1656.807;168.8
1656.817;168.7
1656.828;168.8
1656.839;168.8
1656.845;168.9
1656.856;169
1656.868;169
1656.879;169.1
1656.89;169.2
1656.896;169.2
1656.907;169.3
1656.919;169.4
1656.93;169
1656.935;168.8
1656.947;168.3
1656.958;167.8
1656.969;167.3
1656.975;167.1
1656.986;166.6
1656.998;166.1
1657.008;165.7
1657.02;165.2
1657.025;165
1657.036;164.7
1657.047;164.4
1657.058;164.1
1657.07;163.9
1657.075;163.7
1657.087;163.4
1657.098;163.1
1657.109;162.8
1657.12;162.5
1657.126;162.3
1657.137;161.9
1657.148;161.5
1657.16;161.1
1657.166;160.9
1657.176;160.4
1657.188;160
1657.199;159.6
1657.21;159.2
1657.216;159
1657.227;158.6
1657.238;158.2
1657.249;157.9
1657.255;157.7
1657.266;157.3
1657.278;157
1657.289;156.6
1657.3;156.3
1657.306;156.1
1657.318;155.8
1657.329;155.4
1657.34;155.2
1657.346;155
1657.357;154.7
1657.368;154.5
1657.38;154.2
1657.385;154.2
1657.396;153.6
1657.407;153.4
1657.419;153.1
1657.43;152.8
1657.441;152.5
1657.453;152.2
1657.464;151.9
1657.475;151.7
1657.487;151.5
1657.498;151.2
1657.51;150.9
1657.515;150.8
1657.526;150.5
1657.538;150.3
1657.549;150
1657.56;149.7
1657.566;149.6
1657.578;149.3
1657.589;149
1657.6;148.8
1657.606;148.6
1657.617;148.3
1657.629;148.1
1657.64;147.8
1657.646;147.6
1657.657;147.3
1657.668;147
1657.68;146.7
1657.685;146.6
1657.696;146.3
1657.707;146
1657.719;145.7
1657.73;145.6
1657.735;145.6
1657.746;145.6
1657.757;145.6
1657.769;145.6
1657.78;145.6
1657.786;145.6
1657.797;145.7
1657.808;145.7
1657.82;145.7
1657.825;145.7
1657.837;145.1
1657.848;144.6
1657.859;144.1
1657.87;143.6
1657.876;143.3
1657.885;142.6
1657.897;142
1657.908;141.5
1657.92;141
1657.931;141
1657.935;141.1
1657.946;141.1
1657.957;141.2
1657.968;141.3
1657.979;141.3
1657.989;141.4
1658;141.5
1658.006;141.5
1658.017;141.6
1658.028;141.7
1658.04;141.9
1658.045;142
1658.056;142.2
1658.067;142.5
1658.078;142.7
1658.088;142.8
1658.095;143
1658.107;143.2
1658.118;143.4
1658.129;143.6
1658.135;143.8
1658.146;144
1658.158;144.3
1658.169;144.5
1658.18;144.8
1658.186;144.9
1658.197;145.1
1658.208;145.4
1658.22;145.6
1658.225;145.7
1658.236;146
1658.247;146.3
1658.258;146.6
1658.269;146.8
1658.281;147.1
1658.286;147.2
1658.298;147.5
1658.309;147.8
1658.321;148.1
1658.326;148.2
1658.338;148.4
1658.349;148.6
1658.36;148.8
1658.366;148.9
1658.377;149.1
1658.389;149.2
1658.4;149.4
1658.406;149.5
1658.417;149.7
1658.428;149.9
1658.439;150.1
1658.451;150.3
1658.456;150.4
1658.468;150.6
1658.479;150.8
1658.49;151
1658.496;151.1
1658.507;151.3
1658.518;151.6
1658.529;151.8
1658.541;152.1
1658.546;152.2
1658.557;152.5
1658.569;152.8
1658.58;153.1
1658.586;153.3
1658.597;153.5
1658.608;153.8
1658.62;154.1
1658.625;154.3
1658.637;154.6
1658.648;154.9
1658.659;155.2
1658.671;155.6
1658.676;155.7
1658.688;156.1
1658.699;156.4
1658.71;156.7
1658.716;156.9
1658.727;157.2
1658.739;157.1
1658.75;157
1658.756;156.9
1658.767;156.7
1658.778;156.6
1658.79;156.4
1658.796;156.4
1658.807;156.2
1658.818;156.1
1658.829;155.9
1658.841;155.9
1658.846;155.8
1658.857;155.8
1658.868;155.7
1658.879;155.7
1658.89;155.6
1658.896;155.6
1658.907;155.5
1658.918;155.5
1658.928;155.4
1658.94;155.3
1658.951;155.2
1658.956;155.1
1658.968;154.9
1658.979;154.8
1658.99;154.6
1658.996;154.6
1659.007;154.4
1659.019;154.3
1659.03;154.1
1659.036;153.9
1659.047;153.6
1659.058;153.2
1659.069;152.8
1659.08;152.4
1659.086;152.3
1659.098;151.9
1659.108;151.5
1659.12;151.2
1659.125;151
1659.136;150.6
1659.148;150.1
1659.159;149.7
1659.165;149.5
1659.176;149.1
1659.188;148.6
1659.199;148.2
1659.21;147.8
1659.216;147.6
1659.227;147.2
1659.238;147.2
1659.249;147.4
1659.255;147.6
